method,method_id,impact_category,indicator,scenario,route,c3c4,stageD,net,sign_mismatch_vs_GWP,rank_in_method,rank_in_GWP,rank_delta_vs_GWP
"ReCiPe 2016 v1.03, midpoint (H) | acidification: terrestrial | terrestrial acidification potential (TAP)",acidification_terrestrial__terrestrial_acidification_potential___d8990d21,acidification: terrestrial,terrestrial acidification potential (TAP),SSP1VLLO_2050,landfill,0.0002330175835989,0.0,0.0002330175835989,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),contemp,landfill,0.0947423163563259,0.0,0.0947423163563259,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP1VLLO_2050,recycling_postcons,2.977230500283015,-29.463909298422248,-26.486678798139234,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP2M_2050,recycling_postcons,2.7019914992130456,-29.31026991994606,-26.608278420733015,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP5H_2050,recycling_postcons,2.944425581149856,-28.431647675844413,-25.48722209469456,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),contemp,recycling_postcons,2.1077354783481272,-31.729473318916877,-29.62173784056875,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP1VLLO_2050,reuse,0.0066635655989341,-32.69505713259644,-32.688393566997505,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP2M_2050,reuse,0.0075838652905796,-32.77999092186354,-32.772407056572966,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP5H_2050,reuse,0.007076858307337,-31.91407560724523,-31.906998748937895,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),contemp,reuse,0.010874582732427,-35.195159146317444,-35.18428456358502,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP1VLLO_2050,hydrolysis,0.9458397898408508,-3.635129510144938,-2.689289720304087,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP2M_2050,hydrolysis,0.8217425342899043,-6.328308223803855,-5.506565689513951,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP5H_2050,hydrolysis,1.309191527016579,-6.44903160437582,-5.139840077359241,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),contemp,hydrolysis,20.885787972833118,-10.247400266067066,10.638387706766052,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP1VLLO_2050,msfsc,0.9480042009522688,-17.294077490556653,-16.346073289604384,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP2M_2050,msfsc,13.156199275785914,-25.22054715762481,-12.064347881838897,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),SSP5H_2050,msfsc,11.350414061832126,-23.45984914161572,-12.109435079783594,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP100)",climate_change__global_warming_potential_GWP100__60429ccf,climate change,global warming potential (GWP100),contemp,msfsc,5.316597339791902,-32.52146619153885,-27.204868851746948,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP1VLLO_2050,landfill,0.0837400571699924,0.0,0.0837400571699924,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP2M_2050,landfill,0.0873821520737887,0.0,0.0873821520737887,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP5H_2050,landfill,0.0820008298280725,0.0,0.0820008298280725,False,5.0,5.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP1VLLO_2050,recycling_postcons,3.02902765054921,-30.129512213882776,-27.100484563333566,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP2M_2050,recycling_postcons,2.7415049584449123,-29.918220870322937,-27.176715911878023,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP5H_2050,recycling_postcons,2.975914110408145,-28.98628302690853,-26.010368916500386,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP1VLLO_2050,reuse,0.0087473575081938,-33.59467002259788,-33.58592266508969,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP2M_2050,reuse,0.0096274741519284,-33.606037870530365,-33.59641039637844,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP5H_2050,reuse,0.0090696023978233,-32.66616639404571,-32.65709679164789,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP1VLLO_2050,hydrolysis,6.766029337570683,-13.358707436120335,-6.592678098549652,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP2M_2050,hydrolysis,6.614498007088451,-15.426643827090356,-8.812145820001906,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP5H_2050,hydrolysis,7.089353905649101,-15.51106718222666,-8.42171327657756,False,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP1VLLO_2050,msfsc,0.9109584326806768,-18.183100945201485,-17.27214251252081,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP2M_2050,msfsc,13.17597187633347,-26.10536981763018,-12.92939794129671,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | climate change | global warming potential (GWP1000)",climate_change__global_warming_potential_GWP1000__8f7dc52f,climate change,global warming potential (GWP1000),SSP5H_2050,msfsc,11.333427211382077,-24.279597224594472,-12.946170013212395,False,3.0,3.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP1VLLO_2050,landfill,0.0298363898059196,0.0,0.0298363898059196,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP2M_2050,landfill,0.0300504399062805,0.0,0.0300504399062805,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP5H_2050,landfill,0.0299413006456296,0.0,0.0299413006456296,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),contemp,landfill,0.0299407775812839,0.0,0.0299407775812839,False,3.0,4.0,-1.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP1VLLO_2050,recycling_postcons,0.8654525789879135,-1.8830918997289143,-1.0176393207410008,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP2M_2050,recycling_postcons,0.8597694486894961,-1.9041255866452829,-1.0443561379557869,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP5H_2050,recycling_postcons,0.8716218393998373,-1.8779139560879805,-1.0062921166881433,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),contemp,recycling_postcons,0.8822151063278629,-1.9401262729125888,-1.0579111665847258,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP1VLLO_2050,reuse,0.0008782281641789,-2.242923151590604,-2.242044923426425,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP2M_2050,reuse,0.0009077897056408,-2.2838907304806386,-2.282982940774998,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP5H_2050,reuse,0.0008857112503885,-2.2610609568884468,-2.260175245638058,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),contemp,reuse,0.0008049614769503,-2.2290721967984304,-2.2282672353214803,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP1VLLO_2050,hydrolysis,37.33981793007693,-1.37889002032688,35.960927909750055,True,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP2M_2050,hydrolysis,37.33327323387097,-1.1368042999201096,36.19646893395086,True,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP5H_2050,hydrolysis,37.374885635628615,-1.0746031599304622,36.300282475698154,True,4.0,4.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),contemp,hydrolysis,1.982432862688887,-0.940645269328191,1.041787593360696,False,4.0,5.0,-1.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP1VLLO_2050,msfsc,46.76055853842165,43.65755260805842,90.41811114648007,True,5.0,3.0,2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP2M_2050,msfsc,46.12390820157858,44.04887612082409,90.17278432240266,True,5.0,3.0,2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),SSP5H_2050,msfsc,46.06079835624224,44.10722346615241,90.16802182239465,True,5.0,3.0,2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: freshwater | freshwater ecotoxicity potential (FETP)",ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2,ecotoxicity: freshwater,freshwater ecotoxicity potential (FETP),contemp,msfsc,45.92348539735596,-1.5939560175707004,44.329529379785264,True,5.0,3.0,2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP1VLLO_2050,landfill,0.0410805080653607,0.0,0.0410805080653607,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP2M_2050,landfill,0.0413583840387501,0.0,0.0413583840387501,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP5H_2050,landfill,0.0412253236304125,0.0,0.0412253236304125,False,3.0,5.0,-2.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),contemp,landfill,0.0412543531741925,0.0,0.0412543531741925,False,3.0,4.0,-1.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP1VLLO_2050,recycling_postcons,1.1942586117914404,-2.6444442066512552,-1.4501855948598148,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP2M_2050,recycling_postcons,1.187288687915978,-2.6708335421015774,-1.4835448541855993,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP5H_2050,recycling_postcons,1.205071082515703,-2.6409932540286447,-1.4359221715129418,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),contemp,recycling_postcons,1.2152105557950643,-2.734259235739969,-1.5190486799449048,False,2.0,2.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP1VLLO_2050,reuse,0.0011738575997515,-3.1091493589235126,-3.1079755013237613,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP2M_2050,reuse,0.0012148768356682,-3.1616744955608533,-3.160459618725185,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),SSP5H_2050,reuse,0.0011855158302475,-3.139269765092344,-3.1380842492620964,False,1.0,1.0,0.0
"ReCiPe 2016 v1.03, midpoint (H) | ecotoxicity: marine | marine ecotoxicity potential (METP)",ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc,ecotoxicity: marine,marine ecotoxicity potential (METP),contemp,reuse,0.0010795663719697,-3.1030085443050006,-3.101928977933031,False,1.0,1.0,0.0
