filename,supports_thesis_item,description,format,generated_or_manual,source_or_script,redistributable_yes_no,notes
source_exports\summary_c3c4_stageD_recipe2016_midpointH_ALLMETHODS_long.csv,Appendix E source export - summary_long,Copied source export file summary_c3c4_stageD_recipe2016_midpointH_ALLMETHODS_long.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\summary_c3c4_stageD_recipe2016_midpointH_ALLMETHODS_long.csv,yes,
grid_tables\grid_c3c4__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,yes,
grid_tables\grid_c3c4__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,yes,
grid_tables\grid_c3c4__climate_change__global_warming_potential_GWP100__60429ccf.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__climate_change__global_warming_potential_GWP100__60429ccf.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__climate_change__global_warming_potential_GWP100__60429ccf.csv,yes,
grid_tables\grid_c3c4__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,yes,
grid_tables\grid_c3c4__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,yes,
grid_tables\grid_c3c4__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,yes,
grid_tables\grid_c3c4__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,yes,
grid_tables\grid_c3c4__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,yes,
grid_tables\grid_c3c4__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,yes,
grid_tables\grid_c3c4__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,yes,
grid_tables\grid_c3c4__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,yes,
grid_tables\grid_c3c4__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,yes,
grid_tables\grid_c3c4__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,yes,
grid_tables\grid_c3c4__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,yes,
grid_tables\grid_c3c4__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,yes,
grid_tables\grid_c3c4__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,yes,
grid_tables\grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,yes,
grid_tables\grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,yes,
grid_tables\grid_c3c4__water_use__water_consumption_potential_WCP__96fc4bf7.csv,Appendix E grid table - c3c4,Copied grid file grid_c3c4__water_use__water_consumption_potential_WCP__96fc4bf7.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_c3c4__water_use__water_consumption_potential_WCP__96fc4bf7.csv,yes,
grid_tables\grid_net__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,Appendix E grid table - net,Copied grid file grid_net__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,yes,
grid_tables\grid_net__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,Appendix E grid table - net,Copied grid file grid_net__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,yes,
grid_tables\grid_net__climate_change__global_warming_potential_GWP100__60429ccf.csv,Appendix E grid table - net,Copied grid file grid_net__climate_change__global_warming_potential_GWP100__60429ccf.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__climate_change__global_warming_potential_GWP100__60429ccf.csv,yes,
grid_tables\grid_net__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,Appendix E grid table - net,Copied grid file grid_net__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,yes,
grid_tables\grid_net__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,Appendix E grid table - net,Copied grid file grid_net__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,yes,
grid_tables\grid_net__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,Appendix E grid table - net,Copied grid file grid_net__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,yes,
grid_tables\grid_net__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,Appendix E grid table - net,Copied grid file grid_net__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,yes,
grid_tables\grid_net__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,Appendix E grid table - net,Copied grid file grid_net__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,yes,
grid_tables\grid_net__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,Appendix E grid table - net,Copied grid file grid_net__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,yes,
grid_tables\grid_net__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,Appendix E grid table - net,Copied grid file grid_net__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,yes,
grid_tables\grid_net__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,Appendix E grid table - net,Copied grid file grid_net__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,yes,
grid_tables\grid_net__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,Appendix E grid table - net,Copied grid file grid_net__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,yes,
grid_tables\grid_net__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,Appendix E grid table - net,Copied grid file grid_net__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,yes,
grid_tables\grid_net__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,Appendix E grid table - net,Copied grid file grid_net__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,yes,
grid_tables\grid_net__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,Appendix E grid table - net,Copied grid file grid_net__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,yes,
grid_tables\grid_net__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,Appendix E grid table - net,Copied grid file grid_net__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,yes,
grid_tables\grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,Appendix E grid table - net,Copied grid file grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,yes,
grid_tables\grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,Appendix E grid table - net,Copied grid file grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,yes,
grid_tables\grid_net__water_use__water_consumption_potential_WCP__96fc4bf7.csv,Appendix E grid table - net,Copied grid file grid_net__water_use__water_consumption_potential_WCP__96fc4bf7.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_net__water_use__water_consumption_potential_WCP__96fc4bf7.csv,yes,
grid_tables\grid_stageD__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__acidification_terrestrial__terrestrial_acidification_potential___d8990d21.csv,yes,
grid_tables\grid_stageD__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__climate_change__global_warming_potential_GWP1000__8f7dc52f.csv,yes,
grid_tables\grid_stageD__climate_change__global_warming_potential_GWP100__60429ccf.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__climate_change__global_warming_potential_GWP100__60429ccf.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__climate_change__global_warming_potential_GWP100__60429ccf.csv,yes,
grid_tables\grid_stageD__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__ecotoxicity_freshwater__freshwater_ecotoxicity_potential_FET__a0441fa2.csv,yes,
grid_tables\grid_stageD__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__ecotoxicity_marine__marine_ecotoxicity_potential_METP__4ccba5cc.csv,yes,
grid_tables\grid_stageD__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__ecotoxicity_terrestrial__terrestrial_ecotoxicity_potential_TE__16f3b1ae.csv,yes,
grid_tables\grid_stageD__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__energy_resources_non_renewab__fossil_fuel_potential_FFP__b59753d2.csv,yes,
grid_tables\grid_stageD__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__eutrophication_freshwater__freshwater_eutrophication_potential___55c623e0.csv,yes,
grid_tables\grid_stageD__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__eutrophication_marine__marine_eutrophication_potential_MEP__347a1fc6.csv,yes,
grid_tables\grid_stageD__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__human_toxicity_carcinogenic__human_toxicity_potential_HTPc__58612d11.csv,yes,
grid_tables\grid_stageD__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__human_toxicity_non_carcinoge__human_toxicity_potential_HTPnc__f59ee56c.csv,yes,
grid_tables\grid_stageD__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__ionising_radiation__ionising_radiation_potential_IRP__87367cba.csv,yes,
grid_tables\grid_stageD__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__land_use__agricultural_land_occupation_LOP__335c3f8c.csv,yes,
grid_tables\grid_stageD__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__material_resources_metals_mi__surplus_ore_potential_SOP__3b2a237a.csv,yes,
grid_tables\grid_stageD__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__ozone_depletion__ozone_depletion_potential_ODPinfinit__18207635.csv,yes,
grid_tables\grid_stageD__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__particulate_matter_formation__particulate_matter_formation_potenti__590402ad.csv,yes,
grid_tables\grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__61acd64a.csv,yes,
grid_tables\grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__photochemical_oxidant_format__photochemical_oxidant_formation_pote__feb2290d.csv,yes,
grid_tables\grid_stageD__water_use__water_consumption_potential_WCP__96fc4bf7.csv,Appendix E grid table - stageD,Copied grid file grid_stageD__water_use__water_consumption_potential_WCP__96fc4bf7.csv,csv,copied,C:\brightway_workspace\repo_support\appendix_e_sources\additional_impact_categories\tables\grid_stageD__water_use__water_consumption_potential_WCP__96fc4bf7.csv,yes,
